,Trial_IDs,Transition,P1_IN_Ephys_TS,P1_OUT_Ephys_TS,P2_IN_Ephys_TS,P2_OUT_Ephys_TS,Latency,RewardEphysTS
213,36,63,542.5064333333332,542.5892333333334,543.4985333333333,543.4986333333333,0.9921000000000504,NaN
214,36,37,543.4993333333333,543.5545333333333,544.1194333333333,545.4474333333333,0.6200999999999794,544.1194333333333
215,37,32,549.5377666666666,549.6400666666666,549.9850666666666,550.1382666666666,0.4473000000000411,NaN
216,37,21,549.9850666666666,550.1382666666666,550.5414666666667,550.7117666666667,0.5564000000000533,NaN
217,37,12,550.5414666666667,550.7117666666667,551.9834666666666,551.9856666666666,1.4419999999998936,NaN
218,37,26,551.9834666666666,551.9856666666666,552.7809666666667,552.8408666666667,0.7973000000000638,NaN
219,37,63,552.7809666666667,552.8408666666667,553.3489666666667,553.3490666666667,0.5679999999999836,NaN
220,37,37,553.3904666666667,553.6930666666667,554.0124666666667,555.6734666666665,0.6219999999999573,554.0124666666667
221,38,21,559.5023999999999,559.5503,559.874,560.1110999999999,0.3716000000000577,NaN
222,38,63,566.0149333333333,566.1284333333333,566.6300333333334,566.6301333333333,0.6151000000000977,NaN
223,38,37,566.6302333333333,566.8199333333333,567.2283333333334,568.9103333333334,0.5981000000000449,567.2283333333334
224,39,21,571.0088,571.0740999999999,571.3766999999999,571.6699,0.3678999999999633,NaN
225,39,16,571.3766999999999,571.6699,572.502,572.5697666666667,1.1253000000000384,NaN
226,39,63,572.502,572.5697666666667,573.2318666666667,573.4739666666668,0.7296999999999798,NaN
227,39,37,573.2318666666667,573.4739666666668,573.807166666667,575.3339666666667,0.5753000000000839,573.807166666667
228,40,32,578.3485666666668,578.3901666666668,578.7653666666666,578.9034666666666,0.4167999999999665,NaN
229,40,21,578.7653666666666,578.9034666666666,579.2846666666668,579.6482666666668,0.5193000000000438,NaN
230,40,16,579.2846666666668,579.6482666666668,580.0993666666668,580.2159333333334,0.8147000000000162,NaN
231,40,62,580.0993666666668,580.2159333333334,580.4872333333334,580.4976333333334,0.3876999999999953,NaN
232,40,37,580.6924333333334,580.8937333333334,581.2020333333334,582.8819333333334,0.5095999999999776,581.2020333333334
233,41,16,584.1194333333335,584.3580333333334,584.9244333333335,585.0266333333336,0.80499999999995,NaN
234,41,63,584.9244333333335,585.0266333333336,585.9511666666666,586.1856666666665,1.0265000000000557,NaN
235,41,37,585.9511666666666,586.1856666666665,586.5758666666667,586.6704666666667,0.6246999999999616,NaN
236,41,71,586.5758666666667,586.6704666666667,587.9043666666665,588.1497666666664,1.3284999999999627,NaN
237,41,16,587.9043666666665,588.1497666666664,588.7892666666665,588.8223666666665,0.8849000000000159,NaN
238,41,66,588.7892666666665,588.8223666666665,589.7807666666665,589.8672666666665,0.9914999999999736,NaN
239,41,62,589.7807666666665,589.8672666666665,590.2130666666667,590.2843666666665,0.4323000000000548,NaN
240,41,21,590.2130666666667,590.2843666666665,591.3888666666666,591.5420666666665,1.1757999999999809,NaN
241,41,11,591.3888666666666,591.5420666666665,592.0480666666665,592.2550666666667,0.6591999999999416,NaN
242,41,16,592.0480666666665,592.2550666666667,592.7459666666667,592.8444666666667,0.6977000000000544,NaN
243,41,63,592.7459666666667,592.8444666666667,593.3533666666667,593.3534666666667,0.6073999999999842,NaN
244,41,33,593.3539666666667,593.4828666666667,593.6453666666669,593.6558666666667,0.2914000000000669,NaN
